,IM,Y_star,P_star,RR_star
1996-01-01,-0.015097309118115021,-0.017778405108742384,-0.010433891060082575,-0.0008364231853804472
1996-04-01,-0.03665640875146359,-0.015600880421088377,-0.01000618042438181,0.001794818840055236
1996-07-01,-0.04660805046374428,-0.013694432379808363,-0.010420491820857556,-0.0004860442326120522
1996-10-01,-0.05539249566927751,-0.010851421955981141,-0.008675888101810717,-0.0014308936219818093
1997-01-01,-0.06821062110561193,-0.00877164492606732,-0.010667406265225313,0.0024011900214431204
1997-04-01,-0.09118265610414156,-0.0031498485106636878,-0.013375454712624938,0.0016057967457889014
1997-07-01,-0.09953974767079465,-0.0010525290277498493,-0.011059989338264027,0.004585235077642378
1997-10-01,-0.09141258274996744,0.0020275161989104984,-0.011074168038408251,0.008216596010575849
1998-01-01,0.0031275595712649817,0.0024626205204428763,-0.01286566980473731,0.0066532102129263585
1998-04-01,-0.019240923606028915,0.002029152239504933,-0.011888765755149862,0.003936814322474487
1998-07-01,-0.008253139570840062,0.0034196372719569705,-0.014190780093699295,0.001797305522379637
1998-10-01,0.009405402530807905,0.005283792281330697,-0.014658469492529103,-0.0034894169511568538
1999-01-01,-0.06433131009210946,0.00722261994992179,-0.015201788327057694,-0.011546467867264574
1999-04-01,-0.027995830105222552,0.007291911489909975,-0.013199591216198943,-0.013537186650131077
1999-07-01,-0.018774442071851638,0.01394444407987083,-0.011509225770596765,-0.014482183348565849
1999-10-01,-0.013605040956839787,0.021087253254792836,-0.009411321148415159,-0.008228714523099678
2000-01-01,0.0036473364020270793,0.02494705562138632,-0.00573961737890377,-0.006556877802989355
2000-04-01,0.06281697545396092,0.029537384484958344,-0.005256393034347326,-0.0038106881532853952
2000-07-01,0.06486019681535815,0.027653119030218304,-0.0024525345881520532,0.005186593047222848
2000-10-01,0.1083389394031471,0.026382777601269388,-0.0017061139370304007,0.012882505629873016
2001-01-01,0.14235040371748298,0.02588284082448804,-0.00183119914796575,0.007721840992118122
2001-04-01,0.05491952047095516,0.02318536206263274,0.0035756948488003563,0.005649888731730274
2001-07-01,0.05926500540520685,0.018056366351416622,0.000715147986626095,0.0007828555970458887
2001-10-01,0.05504134676849226,0.014590725980981899,-0.0033263569017254638,-0.012290489755345212
2002-01-01,0.10266125438618978,0.01333467550017234,-0.0022813954772328317,-0.016046334366942392
2002-04-01,0.06967010976379129,0.014349322126955178,-0.005524600058693317,-0.008908258812673868
2002-07-01,0.03129481911949128,0.013399840903315741,-0.0046119469765231215,-0.009677496394737512
2002-10-01,-0.047791752071667304,0.011165545215831789,-0.0005084638831826442,-0.010335887352310707
2003-01-01,-0.06762616828880752,0.006980615394530858,0.001509058982506288,-0.009889613175719592
2003-04-01,-0.07488105290087432,0.0063513140927748644,-0.002417255518053878,-0.01966529723253525
2003-07-01,-0.04982030436417695,0.011437435761639298,-0.002389153001297105,-0.02024635122606871
2003-10-01,-0.008094872628502614,0.014822487648273677,-0.0034441974576080218,-0.021774210769935944
2004-01-01,-0.08754386033575123,0.01603493887419726,-0.004993906807909973,-0.019901948334692637
2004-04-01,-0.07764661358717717,0.01706048264354099,0.0007662999145543655,-0.017720037222487793
2004-07-01,-0.08471237248766172,0.01686003825088176,0.0011896747505678433,-0.020294886945563913
